Options:
Model:                           Discrete: Independent
Tree File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.bttrees
Data File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/Project_Kinshipsystems_ACE_Coevolution/analysis/co-evolutionary/bt-output/bantu-iroquois_binary-unilineal_binary-indep
Summary:                         False
Seed                             3866554334
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     4
Base frequency (PI's)            None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Tree Information
     Trees:                      1000
     Taxa:                       64
     Sites:                      1
     States:                     4
Tree No	Lh	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
218	-70.291259	0.088234	0.052713	1.394824	0.289471	0.249985	0.249985	0.250015	0.250015	
219	-70.280499	0.176929	0.106016	0.544077	0.113082	0.250000	0.250000	0.250000	0.250000	
220	-70.297886	0.156649	0.095033	1.854641	0.384921	0.250000	0.250000	0.250000	0.250000	
221	-69.061596	0.016072	0.022838	0.694521	0.144262	0.215982	0.215982	0.284018	0.284018	
222	-69.333030	0.015312	0.022430	0.404503	0.084188	0.223679	0.223679	0.276321	0.276321	
223	-68.363737	0.014505	0.022158	0.465620	0.097046	0.212873	0.212873	0.287127	0.287127	
224	-68.886207	0.016511	0.022093	1.239975	0.257352	0.218774	0.218774	0.281226	0.281226	
225	-69.094022	0.017879	0.022455	0.975335	0.202357	0.222768	0.222768	0.277232	0.277232	
226	-69.465051	0.015093	0.021326	1.764718	0.366645	0.215783	0.215783	0.284217	0.284217	
227	-69.013856	0.015099	0.021774	0.714582	0.148378	0.207942	0.207942	0.292058	0.292058	
228	-68.589386	0.015920	0.023587	0.355685	0.074493	0.214937	0.214937	0.285063	0.285063	
229	-69.452468	0.014015	0.023440	0.587216	0.122506	0.198554	0.198554	0.301446	0.301446	
230	-69.668523	0.014596	0.023256	1.043324	0.217117	0.206868	0.206868	0.293132	0.293132	
231	-70.285490	0.724516	0.434851	0.371853	0.077665	0.250000	0.250000	0.250000	0.250000	
232	-70.197793	0.399861	0.241889	0.388737	0.081533	0.250000	0.250000	0.250000	0.250000	
