Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.bttrees
Data File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/Project_Kinshipsystems_ACE_Coevolution/analysis/co-evolutionary/bt-output/bantu-iroquois_binary-unilineal_binary-dep
Summary:                         False
Seed                             2792812647
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     8
Base frequency (PI's)            None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Tree Information
     Trees:                      1000
     Taxa:                       64
     Sites:                      1
     States:                     4
Tree No	Lh	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
157	-68.645360	0.351611	0.000000	0.101068	0.017235	0.000000	0.348732	0.023849	0.059315	0.219456	0.222386	0.280327	0.277832	
158	-69.625312	0.318993	0.000000	0.085245	0.148031	0.000000	1.092047	0.084363	0.191972	0.249998	0.249999	0.250002	0.250002	
159	-68.620252	4.324748	0.000000	1.078476	0.022064	0.015583	0.120718	0.022637	0.022583	0.229763	0.229957	0.270951	0.269328	
160	-69.207641	0.511382	0.000000	0.142578	0.021952	0.000000	0.409281	0.025542	0.070463	0.230780	0.232261	0.269322	0.267638	
161	-68.673663	1.062479	0.000000	0.288578	0.019345	0.000000	0.332175	0.025048	0.057303	0.221272	0.222213	0.279832	0.276683	
162	-69.722936	0.428010	0.000000	0.113827	0.173321	0.000000	0.477862	0.097470	0.084420	0.250000	0.250000	0.250000	0.250000	
163	-69.270756	0.798047	0.000000	0.215250	0.021435	0.000000	0.287446	0.025797	0.049114	0.228945	0.229986	0.271857	0.269212	
164	-68.494883	0.849162	0.000000	0.227275	0.022727	0.010351	0.095036	0.023969	0.017298	0.232845	0.233645	0.268439	0.265072	
165	-68.832163	0.690183	0.000000	0.187182	0.024702	0.000000	0.289959	0.026789	0.049540	0.232707	0.233875	0.267764	0.265654	
166	-69.039262	0.448533	0.000000	0.127624	0.026093	0.000000	0.271749	0.027653	0.046623	0.226847	0.229251	0.273579	0.270323	
